"Timestamp","Vous êtes ? ","Quel âge avez-vous?","De quelle catégorie est votre permis?","Depuis combien de temps conduisez-vous?","En moyenne, combien de temps passez vous  en roulant pendant une journée ?","Prenez vous les dispositions nécessaires avant de prendre l’autoroute(moteur, vérification des pneus…)","Avez-vous déjà eu un accident récemment?","Quand a eu lieu l'accident ?","A quelle heure a eu l'accident ?","Responsabilité de l'accident :","Lors de votre accident, vous étiez :","Quelles ont été les conséquences suite à cet accident ?","Suite à votre accident, avez-vous eu besoin d'un arrêt de travail ou d'une interruption de votre scolarité  ?","D'après vous quelles sont les causes réelles de ces accidents","A votre avis, laquelle parmi les causes liées à l'infrastructure est le facteur prépondérant des accidents? ","Après l'accident , votre conduite : ","Vous collez le véhicule devant vous ou bien vous lui faites des appels de phares pour lui dire d’aller plus vite ou de changer de voie :","Vous ne vous souvenez plus où vous avez garé votre véhicule dans un grand parking :","Vous tournez à droite pour entrer sur une route principale et vous croisez le chemin d’un véhicule que vous n’aviez pas vu ou dont vous aviez mal estimé la vitesse :","Délibérément, vous ne respectez pas la limitation de vitesse tard dans la nuit ou très tôt le matin :","Vous  respectez pas le passage piéton :","Vous sous-estimez la vitesse d’un véhicule approchant lorsque vous dépassez :","A la présence d'un dispositif de contrôle(policier,radar...) , vous respectez la vitesse limite:","Vous pénétrez par une mauvaise voie dans un rond-point ou à l’approche d’une intersection :","Vous lisez mal les panneaux et vous prenez la mauvaise sortie à un rond-point : ","Vous vous trouvez impliqué(e) dans une « course non officielle » avec d’autres conducteurs :","   Vous ne respectez pas la limitation de vitesse lorsque la chaussée d'une autoroute comporte trois bandes  de circulation :","Est ce que vous appelez ou répondez aux appels téléphoniques pendant que vous conduisez?","Est ce que vous envoyez des SMS depuis votre téléphone portable en conduisant?"
"2018/04/19 11:08:17 PM GMT+1","Un homme","Entre 26 et 33 ans","A","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Fréquemment","Oui","Moins d'un an","12h - 16h","Pas responsable","En voiture","Matérielles","Arrêt de travail / Interruption de scolarité","J'était en retard","Facteur lié à la signalisation","S’est plutôt améliorée","Jamais","Jamais","Jamais","Jamais","Presque toujours","Presque toujours","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/19 11:28:40 PM GMT+1","Un homme","Plus de 42 ans","A","Plus de 10 ans","Entre 30 et 60 minutes","Fréquemment","Non","","","","","","","","","","Parfois","Jamais","Rarement","Jamais","Presque toujours","Assez souvent","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/20 12:18:42 AM GMT+1","Une femme","Plus de 42 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Rarement","Oui","Moins d'un an","4h - 8h","Pas responsable","En voiture","Corporelles;Psychologiques;Matérielles","Arrêt de travail / Interruption de scolarité","Des problèmes d'infrastructures et de signalisation (aménagement comme pistes cyclables non protégées, travaux sur la route, routes mal entretenues).","Facteur lié au marquage au sol","N’a pas changée","Assez souvent","Parfois","Rarement","Parfois","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Parfois","Jamais","",""
"2018/04/20 12:48:44 AM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Assez souvent","Non","","","","","","","","","","Jamais","Jamais","Jamais","Jamais","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/20 7:51:48 AM GMT+1","Une femme","Plus de 42 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Rarement","Non","","","","","","","","","","Rarement","Rarement","Rarement","Jamais","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/20 11:07:04 AM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Rarement","Non","","","","","","","","","","Presque toujours","Jamais","Jamais","Presque toujours","Assez souvent","Jamais","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Presque toujours","Rarement","Presque toujours","Presque toujours","",""
"2018/04/20 11:38:00 AM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Jamais","Non","","","","","","","","","","Rarement","Rarement","Assez souvent","Presque toujours","Assez souvent","Jamais","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/20 11:44:16 AM GMT+1","Un homme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Parfois","Non","","","","","","","","","","Assez souvent","Jamais","Rarement","Parfois","Assez souvent","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Fréquemment","Parfois","",""
"2018/04/20 11:59:26 AM GMT+1","Une femme","Plus de 42 ans","A","Plus de 10 ans","Entre 30 et 60 minutes","Parfois","Oui","Moins d'un an","12h - 16h","Pas responsable","En voiture","Psychologiques;Matérielles","","Facteurs externes (conditions météorologiques, animaux...);Des problèmes d'infrastructures et de signalisation (aménagement comme pistes cyclables non protégées, travaux sur la route, routes mal entretenues).","Facteur lié à la signalisation","N’a pas changée","Rarement","Parfois","Parfois","Parfois","Assez souvent","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Rarement","Jamais","Jamais","",""
"2018/04/20 1:00:07 PM GMT+1","Un homme","Entre 26 et 33 ans","A","Entre 3 et 10 ans","Plus de 3 heures","Rarement","Oui","Moins d'un an","20h - 0h","50/50","En voiture","Matérielles","Arrêt de travail / Interruption de scolarité","Facteurs externes (conditions météorologiques, animaux...)","Facteur lié à l'éclairage","S’est plutôt améliorée","Parfois","Parfois","Parfois","Assez souvent","Presque toujours","Fréquemment","Je ne respecte pas  la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Parfois","Parfois","Assez souvent","",""
"2018/04/20 1:55:58 PM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Parfois","Oui","Plus d'un an","20h - 0h","Pas responsable","En voiture","Matérielles","Arrêt de travail / Interruption de scolarité","Manque de concentration (utilisation du téléphone ou préoccupé par autre chose..);Des problèmes d'infrastructures et de signalisation (aménagement comme pistes cyclables non protégées, travaux sur la route, routes mal entretenues).","Facteur lié au marquage au sol;Facteur lié à la signalisation;Facteur lié à l'éclairage;Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Parfois","Assez souvent","Rarement","Parfois","Fréquemment","Presque toujours","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Rarement","Jamais","Jamais","",""
"2018/04/20 2:44:25 PM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 0 et 30 minutes","Parfois","Non","","","","","","","","","","Parfois","Assez souvent","Parfois","Fréquemment","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Rarement","Jamais","",""
"2018/04/20 2:46:15 PM GMT+1","Un homme","Entre 26 et 33 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Rarement","Non","","","","","","","","","","Jamais","Jamais","Rarement","Rarement","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/20 2:47:02 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Parfois","Non","","","","","","","","","","Parfois","Rarement","Rarement","Assez souvent","Presque toujours","Assez souvent","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Parfois","Assez souvent","Jamais","",""
"2018/04/20 2:48:30 PM GMT+1","Un homme","Entre 34 et 41 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Parfois","Non","","","","","","","","","","Rarement","Rarement","Rarement","Rarement","Fréquemment","Presque toujours","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Parfois","Jamais","Jamais","",""
"2018/04/20 2:50:47 PM GMT+1","Un homme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Presque toujours","Non","","","","","","","","","","Parfois","Jamais","Jamais","Jamais","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/20 2:51:00 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Presque toujours","Non","","","","","","","","","","Jamais","Jamais","Jamais","Jamais","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/20 2:54:50 PM GMT+1","Un homme","Entre 34 et 41 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Fréquemment","Oui","Plus d'un an","4h - 8h","Pas responsable","En voiture","Matérielles","Arrêt de travail / Interruption de scolarité","Facteurs externes (conditions météorologiques, animaux...);Des problèmes d'infrastructures et de signalisation (aménagement comme pistes cyclables non protégées, travaux sur la route, routes mal entretenues).","Facteur lié au marquage au sol;Facteur lié à l'entretien de la route (trous / dos-d'âne )","N’a pas changée","Rarement","Presque toujours","Rarement","Rarement","Presque toujours","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Rarement","Jamais","",""
"2018/04/20 2:54:52 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Jamais","Non","","","","","","","","","","Rarement","Rarement","Rarement","Parfois","Assez souvent","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Rarement","Jamais","Rarement","",""
"2018/04/20 2:56:33 PM GMT+1","Une femme","Plus de 42 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Presque toujours","Oui","Plus d'un an","16h - 20h","Pas responsable","En voiture","Psychologiques;Matérielles","","Congestion de la route","Facteur lié à l'entretien de la route (trous / dos-d'âne )","N’a pas changée","Jamais","Parfois","Jamais","Jamais","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/20 2:57:39 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Jamais","Non","","","","","","","","","","Parfois","Assez souvent","Assez souvent","Fréquemment","Assez souvent","Assez souvent","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Parfois","Jamais","Jamais","",""
"2018/04/20 3:01:13 PM GMT+1","Un homme","Entre 34 et 41 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Rarement","Parfois","Rarement","Assez souvent","Parfois","Parfois","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Fréquemment","Rarement","Parfois","",""
"2018/04/20 3:02:08 PM GMT+1","Une femme","Plus de 42 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Parfois","Non","","","","","","","","","","Assez souvent","Jamais","Rarement","Parfois","Assez souvent","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/20 3:02:44 PM GMT+1","Une femme","Entre 34 et 41 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Parfois","Non","","","","","","","","","","Parfois","Jamais","Jamais","Parfois","Fréquemment","Parfois","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Rarement","Jamais","Rarement","",""
"2018/04/20 3:06:13 PM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Presque toujours","Non","","","","","","","","","","Rarement","Jamais","Rarement","Jamais","Parfois","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Jamais","",""
"2018/04/20 3:08:25 PM GMT+1","Une femme","Plus de 42 ans","A","Plus de 10 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Parfois","Assez souvent","Jamais","Assez souvent","Presque toujours","Jamais","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Rarement","Rarement","Assez souvent","",""
"2018/04/20 3:09:08 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Presque toujours","Non","","","","","","","","","","Parfois","Rarement","Rarement","Rarement","Fréquemment","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Parfois","Rarement","",""
"2018/04/20 3:09:22 PM GMT+1","Un homme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Assez souvent","Non","","","","","","","","","","Jamais","Jamais","Jamais","Jamais","Fréquemment","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/20 3:09:23 PM GMT+1","Un homme","Entre 26 et 33 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Fréquemment","Non","","","","","","","","","","Parfois","Jamais","Rarement","Parfois","Fréquemment","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Rarement","Rarement","",""
"2018/04/20 3:12:47 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Fréquemment","Oui","Plus d'un an","16h - 20h","Pas responsable","En voiture","Corporelles;Psychologiques","Arrêt de travail / Interruption de scolarité","Je ne sais pas","Facteur lié à la signalisation;Facteur lié à l'éclairage;Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Jamais","Parfois","Rarement","Jamais","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/20 3:29:28 PM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Presque toujours","Non","","","","","","","","","","Parfois","Parfois","Jamais","Fréquemment","Parfois","Jamais","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/20 3:29:36 PM GMT+1","Un homme","Plus de 42 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Presque toujours","Non","","","","","","","","","","Parfois","Jamais","Rarement","Jamais","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/20 3:33:12 PM GMT+1","Un homme","Plus de 42 ans","A","Plus de 10 ans","Entre 30 et 60 minutes","Presque toujours","Non","","","","","","","","","","Jamais","Jamais","Jamais","Jamais","Presque toujours","Presque toujours","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/20 3:46:02 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Parfois","Oui","Moins d'un an","12h - 16h","Pas responsable","En voiture","Matérielles","","","Facteur lié à l'entretien de la route (trous / dos-d'âne );Il ne s'agit pas seulement d'un problème d'infrastructe mais aussi et surtout le non respect du code de la route. Ce qui a été le caspour mon accident, la partie adverse n'a pas respecté un marquage au sol et a décidé subitement de passer de la file droite à la gauche et effectuer un demi tour en trait continu..","S’est plutôt améliorée","Rarement","Jamais","Rarement","Parfois","Fréquemment","Jamais","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Jamais","Rarement","Jamais","",""
"2018/04/20 3:53:26 PM GMT+1","Une femme","Entre 34 et 41 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Rarement","Oui","Moins d'un an","16h - 20h","Pas responsable","En voiture","Matérielles","","Des problèmes d'infrastructures et de signalisation (aménagement comme pistes cyclables non protégées, travaux sur la route, routes mal entretenues).","Facteur lié à l'entretien de la route (trous / dos-d'âne )","N’a pas changée","Parfois","Parfois","Rarement","Parfois","Parfois","Parfois","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Jamais","Parfois","Parfois","",""
"2018/04/20 4:07:23 PM GMT+1","Un homme","Entre 26 et 33 ans","B","Plus de 10 ans","Plus de 3 heures","Assez souvent","Non","","","","","","","","","","Parfois","Jamais","Jamais","Parfois","Parfois","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Jamais","Rarement","Parfois","",""
"2018/04/20 4:13:01 PM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Parfois","Non","","","","","","","","","","Parfois","Jamais","Rarement","Rarement","Presque toujours","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Rarement","Jamais","Jamais","",""
"2018/04/20 4:16:23 PM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Parfois","Non","","","","","","","","","","Rarement","Rarement","Jamais","Jamais","Fréquemment","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Jamais","",""
"2018/04/20 4:20:45 PM GMT+1","Une femme","Entre 34 et 41 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Fréquemment","Oui","Plus d'un an","12h - 16h","Pas responsable","En voiture","Matérielles","","","Facteur lié au marquage au sol;Facteur lié à la signalisation;Facteur lié à l'éclairage;Facteur lié à l'entretien de la route (trous / dos-d'âne )","N’a pas changée","Jamais","Jamais","Jamais","Jamais","Fréquemment","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Jamais","",""
"2018/04/20 4:21:12 PM GMT+1","Une femme","Entre 26 et 33 ans","A","Moins de  3 ans","Entre 30 et 60 minutes","Assez souvent","Oui","Plus d'un an","20h - 0h","50/50","En voiture","Matérielles","Arrêt de travail / Interruption de scolarité","Manque de concentration (utilisation du téléphone ou préoccupé par autre chose..)","Facteur lié au marquage au sol","S’est plutôt améliorée","Rarement","Parfois","Rarement","Rarement","Presque toujours","Presque toujours","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Parfois","",""
"2018/04/20 4:32:39 PM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Rarement","Rarement","Rarement","Rarement","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Rarement","",""
"2018/04/20 4:35:58 PM GMT+1","Une femme","Plus de 42 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Rarement","Non","","","","","","","","","","Fréquemment","Rarement","Rarement","Assez souvent","Fréquemment","Assez souvent","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Jamais","Jamais","",""
"2018/04/20 5:07:09 PM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Jamais","Assez souvent","Rarement","Parfois","Assez souvent","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Rarement","Jamais","Parfois","",""
"2018/04/20 5:23:49 PM GMT+1","Une femme","Entre 34 et 41 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Rarement","Non","","","","","","","","","","Parfois","Rarement","Rarement","Rarement","Assez souvent","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Rarement","Jamais","Rarement","",""
"2018/04/20 5:34:32 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Parfois","Rarement","Rarement","Rarement","Assez souvent","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Rarement","Jamais","Assez souvent","Rarement"
"2018/04/20 5:36:42 PM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Presque toujours","Non","","","","","","","","","","Jamais","Jamais","Jamais","Jamais","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","Jamais","Jamais"
"2018/04/20 5:46:22 PM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Parfois","Assez souvent","Parfois","Presque toujours","Assez souvent","Assez souvent","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Parfois","Parfois","Jamais","Parfois","Presque toujours","Fréquemment"
"2018/04/20 6:42:24 PM GMT+1","Un homme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Jamais","Oui","Plus d'un an","16h - 20h","Pas responsable","En voiture","Matérielles","Arrêt de travail / Interruption de scolarité","Je ne sais pas","Facteur lié au marquage au sol;Facteur lié à la signalisation;Facteur lié à l'éclairage;Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Rarement","Jamais","Parfois","Rarement","Assez souvent","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","Parfois","Jamais"
"2018/04/20 7:19:14 PM GMT+1","Un homme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Plus de 3 heures","Rarement","Non","","","","","","","","","","Parfois","Parfois","Jamais","Presque toujours","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Parfois","Jamais","Rarement","Presque toujours","Parfois"
"2018/04/20 7:20:15 PM GMT+1","Une femme","Entre 34 et 41 ans","B","Moins de  3 ans","Entre 1 heure et 3 heures","Presque toujours","Non","","","","","","","","","","Jamais","Jamais","Jamais","Jamais","Presque toujours","Presque toujours","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","Parfois","Jamais"
"2018/04/20 7:24:13 PM GMT+1","Un homme","Plus de 42 ans","A","Plus de 10 ans","Entre 0 et 30 minutes","Presque toujours","Non","","","","","","","","","","Jamais","Jamais","Presque toujours","Jamais","Presque toujours","Presque toujours","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Presque toujours","Jamais","Parfois","Jamais","Jamais"
"2018/04/20 7:38:26 PM GMT+1","Une femme","Entre 34 et 41 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Assez souvent","Non","","","","","","","","","","Presque toujours","Parfois","Parfois","Fréquemment","Fréquemment","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Rarement","Parfois","Jamais","Rarement","Jamais"
"2018/04/20 9:04:35 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Jamais","Non","","","","","","","","","","Parfois","Rarement","Rarement","Parfois","Assez souvent","Parfois","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Jamais","Rarement","Parfois","Assez souvent","Rarement"
"2018/04/20 9:28:22 PM GMT+1","Une femme","Plus de 42 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Assez souvent","Oui","Moins d'un an","12h - 16h","50/50","En voiture","Matérielles","","Congestion de la route","Passages pietons","S’est plutôt améliorée","Rarement","Parfois","Parfois","Jamais","Presque toujours","Fréquemment","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Jamais","Jamais","Rarement","Jamais"
"2018/04/20 10:29:53 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 0 et 30 minutes","Jamais","Non","","","","","","","","","","Parfois","Rarement","Jamais","Jamais","Parfois","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","Parfois","Rarement"
"2018/04/21 2:37:11 AM GMT+1","Une femme","Plus de 42 ans","A","Plus de 10 ans","Entre 30 et 60 minutes","Assez souvent","Non","","","","","","","","","","Parfois","Assez souvent","Rarement","Parfois","Fréquemment","Assez souvent","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Jamais","Rarement","Rarement","Rarement","Rarement"
"2018/04/21 1:12:41 PM GMT+1","Un homme","Entre 34 et 41 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Fréquemment","Non","","","","","","","","","","Parfois","Parfois","Jamais","Rarement","Presque toujours","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Jamais","Rarement","Jamais"
"2018/04/21 1:15:27 PM GMT+1","Un homme","Entre 26 et 33 ans","B","Moins de  3 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Rarement","Jamais","Jamais","Jamais","Fréquemment","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","Rarement","Jamais"
"2018/04/21 7:17:00 PM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Fréquemment","Non","","","","","","","","","","Rarement","Jamais","Jamais","Jamais","Fréquemment","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Jamais","Jamais","Jamais","Parfois","Jamais"
"2018/04/21 10:09:53 PM GMT+1","Une femme","Plus de 42 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Rarement","Parfois","Rarement","Jamais","Fréquemment","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Parfois","Rarement","Jamais","Parfois","Jamais"
"2018/04/21 10:15:58 PM GMT+1","Une femme","Entre 26 et 33 ans","A","Moins de  3 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Rarement","Parfois","Rarement","Parfois","Assez souvent","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Parfois","Parfois","Assez souvent","Assez souvent","Jamais"
"2018/04/21 10:16:05 PM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Presque toujours","Oui","Plus d'un an","16h - 20h","Pas responsable","En voiture","Matérielles","Arrêt de travail / Interruption de scolarité","Congestion de la route","Î","N’a pas changée","Presque toujours","Assez souvent","Jamais","Rarement","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","Assez souvent","Jamais"
"2018/04/21 10:19:46 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Parfois","Non","","","","","","","","","","Parfois","Parfois","Jamais","Rarement","Presque toujours","Assez souvent","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Rarement","Jamais","Jamais"
"2018/04/21 10:21:24 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Presque toujours","Non","","","","","","","","","","Parfois","Jamais","Jamais","Jamais","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Rarement","Jamais","Jamais","Jamais"
"2018/04/21 10:23:55 PM GMT+1","Un homme","Entre 34 et 41 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Parfois","Non","","","","","","","","","","Parfois","Parfois","Rarement","Parfois","Parfois","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Parfois","Parfois","Rarement","Assez souvent","Rarement"
